鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
內湖區,房地(土地+建物),內湖路三段60巷12弄61~90號,22.24,都市：其他:第三種住宅區。,,,1100130,土地1建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830729,100.17999999999999,3,2,2,有,有,16800000,167698,,0.0,0,陽台外推;其他增建;,RPVQMLSKLHGGFCA28DA,78.66,1.15,8.68,,
內湖區,房地(土地+建物)+車位,行善路241~270號,29.11,都市：其他:住商混合區(為容積接收區)。,,,1091226,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990329,221.67,3,2,2,有,有,45670000,206027,坡道平面,22.6,0,,RPSOMLSKLHGGFCA77DA,117.77,7.63,11.08,,
中山區,房地(土地+建物)+車位,中山北路二段77巷1~30號,14.22,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100128,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060524,143.13,2,2,1,有,有,36200000,351151,升降平面,47.16,2500000,,RPPRMLQKLHGGFCA57DA,54.87,3.29,6.39,,
內湖區,房地(土地+建物),民權東路六段296巷91~120號,20.74,都市：其他:第三種住宅區。,,,1100126,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830509,99.75,3,2,1,有,有,22960000,230175,,0.0,0,陽台外推;其他增建;,RPVQMLLKLHGGFCA57DA,72.64,2.07,8.38,,
內湖區,房地(土地+建物)+車位,成功路四段151~180號,17.3,都市：其他:市場用地(公共設施用地)。64/7/8,,,1091111,土地1建物1車位2,二十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070223,266.40999999999997,0,0,0,無,有,63680000,282551,坡道平面,58.2,4850000,毛胚屋;,RPUNMLSJLHGGFCA77DA,121.53,2.86,17.12,,
中山區,房地(土地+建物)+車位,中山北路二段121~150號,15.92,都市：其他:第三種商業區。,,,1100220,土地1建物2車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090721,172.92000000000002,3,2,2,有,有,54080000,335746,升降機械,19.59,2600000,,RPPOMLSJLHGGFCA37DA,88.09,5.09,8.7,,
中山區,房地(土地+建物)+車位,中山北路二段77巷1~30號,14.22,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100209,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060524,143.13,2,2,1,有,有,33000000,318850,升降平面,47.16,2400000,,RPSOMLKLKHGGFCA96DA,54.87,3.29,6.39,,
中山區,房地(土地+建物),南京東路二段91~120號,3.28,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100206,土地3建物1車位0,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0990917,49.95,0,1,1,有,有,14300000,286286,,0.0,0,,RPPRMLPJLHGGFCA37DA,28.88,1.25,3.19,,
萬華區,房地(土地+建物)+車位,內江街121~150號,12.95,都市：其他:第四種商業區。,,,1091231,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040210,185.47,3,2,2,有,有,29980000,160815,坡道平面,14.59,2500000,,RPXNMLKLJHGGFBA17DA,88.3,6.61,5.98,,
文山區,房地(土地+建物),景興路181~210號,3.79,都市：其他:第三種商業區。,,,1090309,土地1建物1車位0,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0850104,46.459999999999994,1,1,1,有,有,6860000,147622,,0.0,0,,RPRNMLMLLHGGFAA86DA,20.3,0.97,2.04,,
萬華區,房地(土地+建物)+車位,青年路152巷1~30號,45.63,都市：其他:第三之一種住宅區。,,,1100228,土地4建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970103,213.45,4,2,2,有,有,29400000,137737,坡道平面,0.0,0,,RPQOMLMLLHGGFBA96DA,116.43,0.0,10.92,有,068
中山區,房地(土地+建物)+車位,中山北路二段121~150號,13.95,都市：其他:第三種商業區。,,,1100127,土地1建物2車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090721,154.22,2,2,2,有,有,51080000,360098,升降機械,19.59,2600000,,RPUOMLOJKHGGFCA37DA,79.08,2.68,7.57,,
內湖區,房地(土地+建物),星雲街168巷31~60號,8.58,都市：其他:第三種住宅區。,,,1100131,土地1建物1車位0,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,44.269999999999996,1,1,1,有,有,8700000,196521,,0.0,0,陽台加建,RPQPMLMKLHGGFCA07DA,27.56,1.0,2.82,有,069
信義區,房地(土地+建物)+車位,基隆路一段151~180號,9.28,都市：其他:第三之一種住宅區。,,,1100106,土地9建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790626,177.22,0,0,0,無,有,29250000,165049,坡道平面,0.0,0,,RPSNMLTKLHGGFDA87DA,124.91,0.0,23.24,,
信義區,房地(土地+建物),基隆路一段151~180號,4.02,都市：其他:第三之一種住宅區。,,,1100106,土地9建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790626,160.84,0,0,0,無,有,29550000,183723,,0.0,0,,RPTNMLTKLHGGFDA97DA,112.51,3.65,13.21,,
北投區,房地(土地+建物)+車位,溫泉路37巷1~30號,5.84,都市：其他:第三種住宅區。,,,1100207,土地2建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941111,44.84,1,0,1,有,有,5330000,118867,坡道機械,19.86,0,,RPSNMLTKLHGGFEA97DA,16.5,0.34,0.0,有,077
北投區,房地(土地+建物)+車位,天母北路105巷1~30號,51.7,都市：其他:第三種住宅區。,,,1100222,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951130,252.9,4,2,2,有,有,56880000,252893,坡道機械,43.8,4000000,陽台外推;,RPQPMLTKLHGGFEA97DA,144.1,2.04,11.01,,
士林區,房地(土地+建物)+車位,延平北路五段31~60號,20.31,都市：其他:第一種商業區。,,,1100128,土地3建物1車位2,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010528,165.66000000000003,2,2,2,有,有,26800000,161777,坡道機械,25.7,0,陽台外推;其他增建;,RPVNMLMLLHGGFEA67DA,74.35,7.73,12.54,,
文山區,房地(土地+建物)+車位,萬慶街51巷1~30號,35.99,都市：其他:第三種住宅區。,,,1091226,土地1建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950731,209.51999999999998,3,2,2,有,有,35800000,225629,坡道平面,69.91,4300000,陽台外推;,RPXOMLMLLHGGFAA67EA,86.52,3.27,11.38,,
萬華區,房地(土地+建物),成都路151~180號,3.05,都市：其他:道路用地(公共設施用地)。46/8/28,,,1100302,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960622,40.92,1,1,1,有,有,7650000,186950,,0.0,0,陽台外推;其他增建;,RPROMLMLLHGGFBA17EA,21.17,0.0,5.9,,
內湖區,房地(土地+建物)+車位,民權東路六段180巷42弄1~30號,9.82,都市：其他:第三種商業區。,,,1100224,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,137.56,2,2,1,有,有,24800000,180285,坡道平面,41.04,0,,RPVNMLMLLHGGFCA57EA,55.05,2.99,4.08,有,081
中山區,房地(土地+建物)+車位,建國北路三段61~90號,10.06,都市：其他:第三種住宅區。,,,1100226,土地2建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,100.94,0,0,0,無,有,21170000,213066,坡道機械,16.6,3200000,,RPVPMLTKLHGGFCA38EA,43.63,0.0,9.68,,
內湖區,房地(土地+建物),星雲街168巷31~60號,7.15,都市：其他:第三種住宅區。,,,1100121,土地1建物1車位0,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,40.44,2,1,1,有,有,8300000,205242,,0.0,0,,RPQQMLMLLHGGFCA37EA,22.85,1.35,3.98,,
士林區,房地(土地+建物)+車位,中山北路六段195巷1~30號,51.34,都市：其他:第三種住宅區。,,,1100121,土地1建物1車位2,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080403,378.54999999999995,3,2,4,有,有,92000000,278317,坡道平面,64.52,4600000,,RPVOMLMLLHGGFEA87EA,190.66,0.0,18.79,,
大安區,房地(土地+建物),復興南路二段160巷1~30號,22.42,都市：其他:第三種住宅區。,,,1081111,土地2建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080116,200.95,3,2,2,有,有,69880000,347748,,0.0,0,,RPXNMLMLLHGGFFA08EA,115.96,11.95,7.5,,
松山區,房地(土地+建物),八德路四段421~450號,4.24,都市：其他:第三種商業區。,,,1100221,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,43.35,1,0,1,有,無,9430000,217532,,0.0,0,其他增建;,RPUPMLQKLHGGFDA08EA,21.79,1.64,3.1,有,099
內湖區,房地(土地+建物)+車位,麗山街61~90號,26.7,都市：其他:第三種住宅區。,,,1100205,土地1建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000928,206.42000000000002,3,2,2,有,有,42600000,206375,坡道機械,47.82,0,其他增建;,RPOQMLNLLHGGFCA27EA,94.13,10.88,5.98,,
文山區,房地(土地+建物)+車位,木新路三段95巷7弄1~30號,28.16,都市：其他:第三種住宅區。,,,1100131,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990324,188.28,3,2,2,有,有,27500000,172987,坡道平面,40.87,2000000,,RPXNMLRKKHGGFAA87EA,77.55,13.43,7.67,,
大安區,房地(土地+建物),建國南路一段301~330號,13.24,都市：其他:第三之二種住宅區及第三種住宅區。,,,1091231,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750520,98.14,3,1,1,有,有,8800000,89677,,0.0,0,可抽籤租用車位親友、員工、共有人或其他特殊關係間之交易;陽台外推;,RPTOMLNLLHGGFFA77DA,72.08,0.0,11.23,,
南港區,房地(土地+建物)+車位,經貿二路157巷31~60號,55.05,都市：其他:住宅區(供商務住宅使用)。,,,1100209,土地1建物1車位2,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010716,350.26,4,2,3,有,有,90910000,259550,坡道平面,45.14,0,其他增建;,RPOOMLOLLHGGFDA17DA,180.49,10.89,20.55,有,113
信義區,房地(土地+建物),和平東路三段151~180號,9.1,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100205,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,45.09,1,1,1,有,有,11680000,259037,,0.0,0,夾層;其他增建;,RPXPMLSKLHGGFDA48DA,26.21,0.73,3.23,,
信義區,房地(土地+建物),光復南路541~570號,7.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100216,土地1建物1車位0,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0970822,86.67,2,2,2,有,有,25680000,296296,,0.0,0,陽台外推;夾層;其他增建;,RPSNMLPJLHGGFDA37DA,51.9,0.0,3.86,有,114
內湖區,房地(土地+建物),民權東路六段121~150號,3.42,都市：其他:第三種商業區。,,,1100219,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,42.44,1,1,1,有,有,8600000,202639,,0.0,0,,RPUSMLMLLHGGFCA87DA,24.92,1.08,0.0,有,116
中山區,房地(土地+建物)+車位,植福路286巷1~30號,65.61,都市：其他:娛樂區(供觀光旅館使用)。,,,1100106,土地1建物1車位2,六層,四十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1031229,556.4300000000001,0,0,0,無,有,220000000,443584,坡道平面,75.8,6800000,,RPOPMLPLLHGGFCA27DA,298.09,0.0,40.46,,
內湖區,房地(土地+建物),星雲街168巷1~30號,19.23,都市：其他:第三種住宅區。,,,1100224,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841116,80.77,2,2,1,有,有,19050000,235855,,0.0,0,陽台外推;其他增建;,RPQNMLNLLHGGFCA07DA,61.14,1.33,6.22,,
萬華區,房地(土地+建物),康定路91~120號,3.46,都市：其他:第四種商業區。,,,1100221,土地1建物1車位0,十層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,51.230000000000004,1,0,1,有,有,9800000,191294,,0.0,0,,RPUOMLNLLHGGFBA47DA,30.02,0.61,3.21,有,119
萬華區,房地(土地+建物)+車位,艋舺大道275巷1~30號,11.42,都市：其他:特定專用區(一)。,,,1100206,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080416,109.12,1,2,1,有,有,16420000,150477,坡道平面,34.74,0,,RPQNMLMLLHGGFBA86DA,44.61,1.38,4.34,,
萬華區,房地(土地+建物),環河南路二段250巷33弄1~30號,13.19,都市：其他:第三種住宅區。,,,1100123,土地2建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761030,128.75,3,2,2,有,有,14100000,109515,,0.0,0,其他增建;,RPOOMLOJLHGGFBA76DA,91.82,1.72,11.69,,
萬華區,房地(土地+建物),成都路151~180號,3.16,都市：其他:道路用地(公共設施用地)。46/8/28,,,1100221,土地2建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960622,42.28,1,1,1,有,有,8000000,189215,,0.0,0,陽台外推;夾層;其他增建;,RPPPMLKKLHGGFBA66DA,23.82,0.0,4.15,有,124
中山區,房地(土地+建物),雙城街19巷1~30號,3.81,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100310,土地2建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,36.59,0,0,0,無,有,8380000,229024,,0.0,0,,RPXPMLLKLHGGFCA67DA,21.03,0.86,2.59,有,128
內湖區,房地(土地+建物)+車位,成功路二段323巷31~60號,23.52,都市：其他:第三種商業區。,,,1100121,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041006,243.37,3,2,2,有,有,47500000,195176,坡道平面,0.0,2500000,,RPWQMLLKLHGGFCA67DA,124.87,2.16,18.66,有,129
松山區,房地(土地+建物)+車位,三民路43巷1~30號,47.41,都市：其他:第三種住宅區。,,,1100226,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951218,220.68,2,2,2,有,有,32000000,145006,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易;陽台外推;,RPRQMLOLLHGGFDA67DA,115.36,4.07,11.02,有,134
北投區,房地(土地+建物),中和街361~390號,9.67,都市：其他:市場用地(公共設施用地)。,,,1100131,土地1建物1車位0,四層，電梯樓梯間,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870624,81.64999999999999,2,1,1,有,有,10600000,129822,,0.0,0,其他增建;,RPXNMLOLLHGGFEA08DA,63.88,0.0,7.44,,
大安區,房地(土地+建物),敦化南路一段301~330號,11.71,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區及第肆之壹種住宅區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100203,土地1建物1車位0,六層，陽臺，電梯樓梯間,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.33,3,1,2,有,有,22700000,165295,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVNMLOLLHGGFFA97DA,137.33,0.0,0.0,有,141
文山區,房地(土地+建物),羅斯福路六段421~450號,8.4,都市：其他:第三種商業區。,,,1100228,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000704,91.88,3,2,1,有,有,20900000,227471,,0.0,0,,RPUOMLOLLHGGFAA57EA,50.02,2.38,5.26,,
